Campana;Etapa_Pago;Fecha;Archivo_Origen;Carpeta;Tabaco;Clase;Porcentaje;Adelanto_1;Adelanto_2;Incremento;Precio_Total_Acumulado;Comprador;Vendedor;Adelanto_1_USD;Adelanto_2_USD;Incremento_USD;Precio_Total_Acumulado_USD
2007-2008;Resolución / Anexo General;2008-03-27;000004-Resolución Nº 598-2008.pdf;Campana_2007-2008;VIRGINIA;7;2;0.072;;;0.072;3.904;3.955;0.01820480404551201;;;0.01820480404551201
2007-2008;Resolución / Anexo General;2008-04-04;000003-Resolución Nº 237-2008.pdf;Campana_2007-2008;CRIOLLO CORRENTINO;12;8;0.082;;;0.082;3.904;3.955;0.020733249051833123;;;0.020733249051833123
2007-2008;Resolución / Anexo General;2008-07-18;000005-Resolución Nº 219-2008.pdf;Campana_2007-2008;VIRGINIA;01;7;0.015;;;0.015;3.904;3.955;0.0037926675094816687;;;0.0037926675094816687
2007-2008;Resolución / Anexo General;2008-07-18;000005-Resolución Nº 219-2008.pdf;Campana_2007-2008;VIRGINIA;08;2;0.083;0.071;;0.071;3.904;3.955;0.020986093552465234;0.017951959544879898;;0.017951959544879898
2007-2008;Resolución / Anexo General;2008-07-18;000005-Resolución Nº 219-2008.pdf;Campana_2007-2008;VIRGINIA;10;5;0.095;;;0.095;3.904;3.955;0.02402022756005057;;;0.02402022756005057
2007-2008;Resolución / Anexo General;2008-07-18;000005-Resolución Nº 219-2008.pdf;Campana_2007-2008;VIRGINIA;Y;2;5465.0;;;5465.0;3.904;3.955;1381.795195954488;;;1381.795195954488
2007-2008;Resolución / Anexo General;2008-07-23;000002-Resolución Nº 599-2008.pdf;Campana_2007-2008;VIRGINIA;599;1;9800.0;;;9800.0;3.904;3.955;2477.8761061946902;;;2477.8761061946902
2007-2008;Resolución / Anexo General;2008-08-04;000002-Resolución Nº 11-2008.pdf;Campana_2007-2008;VIRGINIA;19;5;0.105;0.075;;0.075;3.904;3.955;0.02654867256637168;0.01896333754740834;;0.01896333754740834
2007-2008;Incremento FET;2008-09-22;000002-Resolución Nº 250-2008.pdf;Campana_2007-2008;VIRGINIA;250;1;9800.0;;;9800.0;3.904;3.955;2477.8761061946902;;;2477.8761061946902
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;Y;2;6467.0;;;6467.0;3.94;3.992;1619.9899799599198;;;1619.9899799599198
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;Y;2;6467.0;;;6467.0;3.94;3.992;1619.9899799599198;;;1619.9899799599198
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.94;3.992;1619.9899799599198;;;1619.9899799599198
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;B;1;1.105;;;1.105;3.94;3.992;0.27680360721442887;;;0.27680360721442887
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;100;82;1.017;;;1.017;3.94;3.992;0.25475951903807614;;;0.25475951903807614
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;C;2;0.663;;;0.663;3.94;3.992;0.16608216432865733;;;0.16608216432865733
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;T;2;0.52;;;0.52;3.94;3.992;0.13026052104208416;;;0.13026052104208416
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;T;4;0.254;;;0.254;3.94;3.992;0.06362725450901803;;;0.06362725450901803
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;X;2;0.409;;;0.409;3.94;3.992;0.10245490981963927;;;0.10245490981963927
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;X;4;0.188;;;0.188;3.94;3.992;0.047094188376753505;;;0.047094188376753505
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;1;7;0.111;;;0.111;3.94;3.992;0.02780561122244489;;;0.02780561122244489
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;CRIOLLO ARGENTINO;92;83;0.553;;;0.553;3.94;3.992;0.13852705410821645;;;0.13852705410821645
2011-2012;Resolución / Anexo General;2010-11-12;000001-Resolución Nº 10-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;3.94;3.992;1619.9899799599198;;;1619.9899799599198
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 43-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 43-2012.pdf;Campana_2010-2011;CRIOLLO CORRENTINO;X;2;0.047;;;0.047;3.957;4.008;0.011726546906187624;;;0.011726546906187624
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 43-2012.pdf;Campana_2010-2011;CRIOLLO CORRENTINO;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 43-2012.pdf;Campana_2010-2011;CRIOLLO CORRENTINO;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 43-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 121-2012.pdf;Campana_2010-2011;CRIOLLO MISIONERO;03;6;0.018;0.011;;0.011;3.957;4.008;0.004491017964071856;0.002744510978043912;;0.002744510978043912
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 121-2012.pdf;Campana_2010-2011;CRIOLLO MISIONERO;07;3;0.058;0.065;0.055;0.043;3.957;4.008;0.014471057884231538;0.016217564870259483;0.013722554890219561;0.010728542914171656
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 121-2012.pdf;Campana_2010-2011;CRIOLLO MISIONERO;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 121-2012.pdf;Campana_2010-2011;CRIOLLO MISIONERO;2;9;125.0;;;125.0;3.957;4.008;31.187624750499;;;31.187624750499
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 121-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 599-2011.pdf;Campana_2010-2011;BURLEY;1;2;4291.0;;;4291.0;3.957;4.008;1070.6087824351298;;;1070.6087824351298
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 121-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 603-2011.pdf;Campana_2010-2011;CRIOLLO CORRENTINO;X;2;0.285;;;0.285;3.957;4.008;0.07110778443113772;;;0.07110778443113772
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 603-2011.pdf;Campana_2010-2011;CRIOLLO CORRENTINO;X;1;0.377;;;0.377;3.957;4.008;0.09406187624750499;;;0.09406187624750499
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 603-2011.pdf;Campana_2010-2011;CRIOLLO CORRENTINO;C;3;0.349;;;0.349;3.957;4.008;0.08707584830339321;;;0.08707584830339321
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 603-2011.pdf;Campana_2010-2011;CRIOLLO CORRENTINO;C;2;0.409;;;0.409;3.957;4.008;0.10204590818363272;;;0.10204590818363272
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;VIRGINIA;2;9;1.25;;;1.25;3.957;4.008;0.31187624750499005;;;0.31187624750499005
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 597-2011.pdf;Campana_2010-2011;CRIOLLO MISIONERO;N;5;0.068;;;0.068;3.957;4.008;0.016966067864271458;;;0.016966067864271458
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 597-2011.pdf;Campana_2010-2011;CRIOLLO MISIONERO;N;4;0.113;;;0.113;3.957;4.008;0.028193612774451097;;;0.028193612774451097
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;CRIOLLO CHAQUEÑO;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;CRIOLLO CHAQUEÑO;CH;1;0.107;;;0.107;3.957;4.008;0.026696606786427147;;;0.026696606786427147
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;CRIOLLO CHAQUEÑO;7;5;0.043;;;0.043;3.957;4.008;0.010728542914171656;;;0.010728542914171656
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 121-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;CRIOLLO CHAQUEÑO;CH;3;0.079;;;0.079;3.957;4.008;0.01971057884231537;;;0.01971057884231537
2010-2011;Incremento FET;2010-12-23;000003-Resolución Nº 41-2012.pdf;Campana_2010-2011;CRIOLLO CHAQUEÑO;CH;2;0.095;;;0.095;3.957;4.008;0.023702594810379243;;;0.023702594810379243
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;14;4;0.112;0.133;0.119;0.105;3.957;4.008;0.027944111776447105;0.03318363273453094;0.029690618762475047;0.02619760479041916
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;VIRGINIA;NO;1;9800.0;;;9800.0;3.957;4.008;2445.1097804391216;;;2445.1097804391216
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;13;7;0.115;0.109;0.128;0.097;3.957;4.008;0.028692614770459084;0.02719560878243513;0.031936127744510975;0.024201596806387227
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;11;8;0.043;0.085;0.105;0.056;3.957;4.008;0.010728542914171656;0.021207584830339323;0.02619760479041916;0.013972055888223553
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;06;1;0.117;0.095;0.049;0.015;3.957;4.008;0.029191616766467067;0.023702594810379243;0.01222554890219561;0.0037425149700598802
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;04;5;0.038;;;0.038;3.957;4.008;0.009481037924151696;;;0.009481037924151696
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 597-2011.pdf;Campana_2010-2011;CRIOLLO MISIONERO;X;1;0.226;;;0.226;3.957;4.008;0.056387225548902194;;;0.056387225548902194
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 597-2011.pdf;Campana_2010-2011;CRIOLLO MISIONERO;90;82;0.338;;;0.338;3.957;4.008;0.08433133732534931;;;0.08433133732534931
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 597-2011.pdf;Campana_2010-2011;CRIOLLO MISIONERO;B;1;0.406;;;0.406;3.957;4.008;0.10129740518962077;;;0.10129740518962077
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 597-2011.pdf;Campana_2010-2011;CRIOLLO MISIONERO;C;2;0.361;;;0.361;3.957;4.008;0.09006986027944111;;;0.09006986027944111
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 597-2011.pdf;Campana_2010-2011;CRIOLLO MISIONERO;C;1;0.451;;;0.451;3.957;4.008;0.1125249500998004;;;0.1125249500998004
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 596-2011.pdf;Campana_2010-2011;CRIOLLO CHAQUEÑO;CH;3;0.684;;;0.684;3.957;4.008;0.17065868263473055;;;0.17065868263473055
2010-2011;Incremento FET;2010-12-23;000002-Resolución Nº 596-2011.pdf;Campana_2010-2011;CRIOLLO CHAQUEÑO;CH;2;0.811;;;0.811;3.957;4.008;0.20234530938123754;;;0.20234530938123754
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;Y;2;6467.0;;;6467.0;3.957;4.008;1613.5229540918165;;;1613.5229540918165
2010-2011;Incremento FET;2010-12-23;000004-Resolución Nº 38-2012.pdf;Campana_2010-2011;BURLEY;13;5;0.119;0.149;0.127;0.124;3.957;4.008;0.029690618762475047;0.03717564870259481;0.031686626746506984;0.03093812375249501
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;W;1;9800.0;;;9800.0;3.959;4.011;2443.280977312391;;;2443.280977312391
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;02;8;0.188;0.17;0.17;0.143;3.959;4.011;0.0468711044627275;0.04238344552480678;0.04238344552480678;0.0356519571179257
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;03;6;0.036;0.028;0.03;0.03;3.959;4.011;0.008975317875841436;0.006980802792321117;0.0074794315632011965;0.0074794315632011965
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;08;9;0.066;0.07;0.046;0.036;3.959;4.011;0.016454749439042633;0.017452006980802792;0.011468461730241835;0.008975317875841436
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;10;7;0.086;0.048;0.086;0.077;3.959;4.011;0.021441037147843428;0.011967090501121914;0.021441037147843428;0.019197207678883072
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.959;4.011;1612.3161306407378;;;1612.3161306407378
2010-2011;Resolución / Anexo General;2011-01-12;000003-Resolución Nº 664-2011.pdf;Campana_2010-2011;VIRGINIA;X;2;0.93;;;0.93;3.959;4.011;0.2318623784592371;;;0.2318623784592371
2010-2011;Resolución / Anexo General;2011-01-12;000003-Resolución Nº 664-2011.pdf;Campana_2010-2011;VIRGINIA;C;3;0.868;;;0.868;3.959;4.011;0.2164048865619546;;;0.2164048865619546
2010-2011;Resolución / Anexo General;2011-01-12;000003-Resolución Nº 664-2011.pdf;Campana_2010-2011;VIRGINIA;B;3;0.744;;;0.744;3.959;4.011;0.18548990276738966;;;0.18548990276738966
2010-2011;Resolución / Anexo General;2011-01-12;000003-Resolución Nº 664-2011.pdf;Campana_2010-2011;VIRGINIA;T;2;0.806;;;0.806;3.959;4.011;0.20094739466467215;;;0.20094739466467215
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.959;4.011;1612.3161306407378;;;1612.3161306407378
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;20;1;1.207;;;1.207;3.959;4.011;0.30092246322612815;;;0.30092246322612815
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.959;4.011;1612.3161306407378;;;1612.3161306407378
2010-2011;Incremento FET;2011-01-12;000004-Resolución Nº 35-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;3.959;4.011;1612.3161306407378;;;1612.3161306407378
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;B;2;1.281;;;1.281;4.0;4.053;0.31606217616580307;;;0.31606217616580307
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;X;3;0.207;;;0.207;4.0;4.053;0.05107327905255366;;;0.05107327905255366
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;4.0;4.053;1595.6081914631138;;;1595.6081914631138
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;4.0;4.053;1595.6081914631138;;;1595.6081914631138
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;B;1;1.326;;;1.326;4.0;4.053;0.3271650629163583;;;0.3271650629163583
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;Y;2;6467.0;;;6467.0;4.0;4.053;1595.6081914631138;;;1595.6081914631138
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;X;2;1.281;;;1.281;4.0;4.053;0.31606217616580307;;;0.31606217616580307
2011-2012;Resolución / Anexo General;2011-02-18;000001-Resolución Nº 42-2012.pdf;Campana_2011-2012;VIRGINIA;B;3;1.178;;;1.178;4.0;4.053;0.29064890204786575;;;0.29064890204786575
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;B;3;0.844;;;0.844;4.03;4.084;0.20666013712047013;;;0.20666013712047013
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;4.03;4.084;1583.496571988247;;;1583.496571988247
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;Y;2;6467.0;;;6467.0;4.03;4.084;1583.496571988247;;;1583.496571988247
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;B;2;1.553;;;1.553;4.03;4.084;0.3802644466209599;;;0.3802644466209599
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;Y;2;6467.0;;;6467.0;4.03;4.084;1583.496571988247;;;1583.496571988247
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;100;82;0.133;;;0.133;4.03;4.084;0.03256611165523997;;;0.03256611165523997
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;B;1;1.688;;;1.688;4.03;4.084;0.41332027424094026;;;0.41332027424094026
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;92;83;0.072;;;0.072;4.03;4.084;0.01762977473065622;;;0.01762977473065622
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;4.03;4.084;1583.496571988247;;;1583.496571988247
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;C;2;0.086;;;0.086;4.03;4.084;0.021057786483839373;;;0.021057786483839373
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;T;4;0.033;;;0.033;4.03;4.084;0.008080313418217435;;;0.008080313418217435
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;X;2;0.053;;;0.053;4.03;4.084;0.01297747306562194;;;0.01297747306562194
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;X;4;0.025;;;0.025;4.03;4.084;0.006121449559255632;;;0.006121449559255632
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;X;4;0.287;;;0.287;4.03;4.084;0.07027424094025465;;;0.07027424094025465
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;X;2;0.625;;;0.625;4.03;4.084;0.15303623898139082;;;0.15303623898139082
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;T;4;0.388;;;0.388;4.03;4.084;0.09500489715964741;;;0.09500489715964741
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;T;2;0.793;;;0.793;4.03;4.084;0.19417238001958867;;;0.19417238001958867
2010-2011;Incremento FET;2011-04-11;000002-Resolución Nº 598-2011.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;C;2;1.013;;;1.013;4.03;4.084;0.2480411361410382;;;0.2480411361410382
2010-2011;Incremento FET;2011-04-11;000003-Resolución Nº 122-2012.pdf;Campana_2010-2011;CRIOLLO ARGENTINO;T;2;0.068;;;0.068;4.03;4.084;0.016650342801175323;;;0.016650342801175323
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;X;3;0.681;;;0.681;4.045;4.097;0.16621918476934341;;;0.16621918476934341
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;X;2;0.741;;;0.741;4.045;4.097;0.18086404686355867;;;0.18086404686355867
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;4.045;4.097;1578.4720527215034;;;1578.4720527215034
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;B;2;0.741;;;0.741;4.045;4.097;0.18086404686355867;;;0.18086404686355867
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;8;1;0.767;;;0.767;4.045;4.097;0.18721015377105196;;;0.18721015377105196
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;4.045;4.097;1578.4720527215034;;;1578.4720527215034
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;4.045;4.097;1578.4720527215034;;;1578.4720527215034
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;4.045;4.097;1578.4720527215034;;;1578.4720527215034
2010-2011;Incremento FET;2011-04-15;000002-Resolución Nº 602-2011.pdf;Campana_2010-2011;VIRGINIA;N;2;0.313;;;0.313;4.045;4.097;0.07639736392482303;;;0.07639736392482303
2010-2011;Incremento FET;2011-04-15;000002-Resolución Nº 602-2011.pdf;Campana_2010-2011;VIRGINIA;X;3;1.781;;;1.781;4.045;4.097;0.43470832316329017;;;0.43470832316329017
2010-2011;Incremento FET;2011-04-15;000002-Resolución Nº 602-2011.pdf;Campana_2010-2011;VIRGINIA;X;2;1.937;;;1.937;4.045;4.097;0.4727849646082499;;;0.4727849646082499
2010-2011;Incremento FET;2011-04-15;000002-Resolución Nº 602-2011.pdf;Campana_2010-2011;VIRGINIA;X;1;2.005;;;2.005;4.045;4.097;0.48938247498169385;;;0.48938247498169385
2010-2011;Incremento FET;2011-04-15;000002-Resolución Nº 602-2011.pdf;Campana_2010-2011;VIRGINIA;B;3;1.781;;;1.781;4.045;4.097;0.43470832316329017;;;0.43470832316329017
2010-2011;Incremento FET;2011-04-15;000002-Resolución Nº 602-2011.pdf;Campana_2010-2011;VIRGINIA;B;2;1.937;;;1.937;4.045;4.097;0.4727849646082499;;;0.4727849646082499
2010-2011;Incremento FET;2011-04-15;000002-Resolución Nº 602-2011.pdf;Campana_2010-2011;VIRGINIA;B;1;2.005;;;2.005;4.045;4.097;0.48938247498169385;;;0.48938247498169385
2010-2011;Incremento FET;2011-04-15;000003-Resolución Nº 42-2011.pdf;Campana_2010-2011;VIRGINIA;6;83;0.681;;;0.681;4.045;4.097;0.16621918476934341;;;0.16621918476934341
2010-2011;Incremento FET;2011-10-17;000004-Resolución Nº 40-2012.pdf;Campana_2010-2011;VIRGINIA;N4;8;0.336;;;0.336;4.204;4.263;0.07881773399014778;;;0.07881773399014778
2010-2011;Incremento FET;2011-10-17;000004-Resolución Nº 40-2012.pdf;Campana_2010-2011;VIRGINIA;Y;2;6467.0;;;6467.0;4.204;4.263;1517.0068027210884;;;1517.0068027210884
2010-2011;Incremento FET;2011-10-17;000004-Resolución Nº 40-2012.pdf;Campana_2010-2011;VIRGINIA;T;2;0.728;;;0.728;4.204;4.263;0.17077175697865352;;;0.17077175697865352
2010-2011;Incremento FET;2011-10-17;000004-Resolución Nº 40-2012.pdf;Campana_2010-2011;VIRGINIA;B;3;0.672;;;0.672;4.204;4.263;0.15763546798029557;;;0.15763546798029557
2010-2011;Incremento FET;2011-10-17;000004-Resolución Nº 40-2012.pdf;Campana_2010-2011;VIRGINIA;C;3;0.784;;;0.784;4.204;4.263;0.18390804597701152;;;0.18390804597701152
