campana;provincia;tipo_tabaco;razon_social;es_subtotal_empresa;volumen_acopio_kg;valor_acopio_pesos;precio_promedio_empresa;pagina_origen
2024/2025;TUCUMÁN;VIRIGINIA;Cooperativa de Productores Tabacaleros del Tucumán LTDA. (COPAT);False;15799.0;49404124.26;3127.04;15
2024/2025;TUCUMÁN;VIRIGINIA;TOTAL_TIPO;True;15799.0;49404124.26;3127.04;15
2024/2025;TUCUMÁN;BURLEY;Alliance One Tobacco Argentina Sociedad Anónima (Alberdi);False;1551355.0;3478515156.25;2242.24;15
2024/2025;TUCUMÁN;BURLEY;Castagno Carla;False;950070.0;2642789500.0;2781.68;15
2024/2025;TUCUMÁN;BURLEY;Comercial Industrial Misionera Argentina S.A.;False;51090.0;143516312.5;2809.09;15
2024/2025;TUCUMÁN;BURLEY;"Cooperativa Agrícola Tabacalera de Catamarca y Tucumán ""CAT-TUC"" Limitada";False;145887.0;413135812.5;2831.89;15
2024/2025;TUCUMÁN;BURLEY;Cooperativa de Productores Tabacaleros del Tucumán LTDA. (COPAT);False;1990964.0;5294367156.25;2659.2;15
2024/2025;TUCUMÁN;BURLEY;"Cooperativa de Provisión de Servicios ""Los Arroyos""";False;274757.0;834234500.0;3036.26;15
2024/2025;TUCUMÁN;BURLEY;Crecer S.R.L.;False;335165.0;985510375.0;2940.37;15
2024/2025;TUCUMÁN;BURLEY;Emprendimiento Río Grande S.R.L.;False;88975.0;234264875.0;2632.93;15
2024/2025;TUCUMÁN;BURLEY;Gestionar SRL;False;25418.0;59773656.25;2351.63;15
2024/2025;TUCUMÁN;BURLEY;Hernandez Hermanos S.R.L.;False;98000.0;255927781.25;2611.51;15
2024/2025;TUCUMÁN;BURLEY;Luis Fernando Umana;False;38494.0;101628468.75;2640.11;15
2024/2025;TUCUMÁN;BURLEY;PDM S.R.L.;False;384923.0;1035055500.0;2688.99;15
2024/2025;TUCUMÁN;BURLEY;Tabes S.A.;False;1056354.0;2698875312.5;2554.9;15
2024/2025;TUCUMÁN;BURLEY;TOTAL_TIPO;True;6991452.0;18177594406.25;2599.97;15
2024/2025;TUCUMÁN;CRIOLLO ARGENTINO;Alliance One Tobacco Argentina Sociedad Anónima (Alberdi);False;62774.0;179107409.74;2853.21;15
2024/2025;TUCUMÁN;CRIOLLO ARGENTINO;TOTAL_TIPO;True;62774.0;179107409.74;2853.21;15
