provincia;tipo_tabaco;es_subtotal_provincial;es_total_nacional;volumen_kg;valor_acopio_pesos;precio_acopio_promedio;valor_fet_pesos;precio_fet_promedio;valor_total_pesos;precio_total_promedio;campana
SALTA;SUBTOTAL_PROVINCIAL;True;False;37480969.0;5814652608.02;155.14;3390577953.44;90.46;9205230561.46;245.6;2020/2021
SALTA;VIRGINIA;False;False;37480969.0;5814652608.02;155.14;3390577953.44;90.46;9205230561.46;245.6;2020/2021
MISIONES;SUBTOTAL_PROVINCIAL;True;False;24283689.0;3122612749.81;128.59;1739361448.11;71.63;4861974197.92;200.22;2020/2021
MISIONES;BURLEY;False;False;23895127.0;3096964868.58;129.61;1724409212.05;72.17;4821374080.63;201.77;2020/2021
MISIONES;CR. MISIONERO;False;False;375157.0;23284623.34;62.07;13574190.53;36.18;36858813.87;98.25;2020/2021
MISIONES;VIRGINIA;False;False;13405.0;2363257.89;176.3;1378045.53;102.8;3741303.42;279.1;2020/2021
CATAMARCA;SUBTOTAL_PROVINCIAL;True;False;296135.0;25621455.36;86.52;20173687.44;68.12;45795142.8;154.64;2020/2021
CATAMARCA;BURLEY;False;False;244837.0;20239607.22;82.67;17034665.74;69.58;37274272.96;152.24;2020/2021
CATAMARCA;CR. ARGENTINO;False;False;51298.0;5381848.14;104.91;3139021.7;61.19;8520869.84;166.11;2020/2021
CHACO;SUBTOTAL_PROVINCIAL;True;False;407342.0;30979331.26;76.05;18288439.35;44.9;49267770.61;120.95;2020/2021
CHACO;VIRGINIA;False;False;128268.0;19069319.58;148.67;11346603.05;88.46;30415922.63;237.13;2020/2021
CHACO;CR. CHAQUEÑO;False;False;279074.0;11910011.68;42.68;6941836.3;24.87;18851847.98;67.55;2020/2021
TUCUMAN;SUBTOTAL_PROVINCIAL;True;False;5046859.0;467981727.36;92.73;349205852.03;69.19;817187579.39;161.92;2020/2021
TUCUMAN;VIRGINIA;False;False;17382.0;2574406.7;148.11;1501135.14;86.36;4075541.84;234.47;2020/2021
TUCUMAN;BURLEY;False;False;4827933.0;443870856.06;91.94;335143400.95;69.42;779014257.01;161.36;2020/2021
TUCUMAN;CR. ARGENTINO;False;False;201544.0;21536464.6;106.86;12561315.94;62.33;34097780.54;169.18;2020/2021
CORRIENTES;SUBTOTAL_PROVINCIAL;True;False;1642340.0;106318736.31;64.74;62000229.92;37.75;168318966.23;102.49;2020/2021
CORRIENTES;CR. CORRENTINO;False;False;1642340.0;106318736.31;64.74;62000229.92;37.75;168318966.23;102.49;2020/2021
CORRIENTES;VIRGINIA;False;False;66369102.0;9875408168.11;;5758673558.15;;15634081726.26;;2020/2021
CORRIENTES;BURLEY;False;False;28967897.0;3561075331.86;;2076587278.73;;5637662610.59;;2020/2021
CORRIENTES;CR. MISIONERO;False;False;375157.0;23284623.34;;13574190.53;;36858813.87;;2020/2021
CORRIENTES;CR. CHAQUEÑO;False;False;279074.0;11910011.68;;6941836.3;;18851847.98;;2020/2021
CORRIENTES;CR. ARGENTINO;False;False;252842.0;26918312.74;;15700337.64;;42618650.38;;2020/2021
TOTAL_NACIONAL;TOTAL_NACIONAL;False;True;91610387.0;19605969166.86;214.01;11325909837.45;123.63;30931879004.31;337.65;2021/2022
JUJUY;SUBTOTAL_PROVINCIAL;True;False;30558443.0;6972300599.38;228.16;4027734276.99;131.8;11000034876.37;359.97;2021/2022
JUJUY;VIRGINIA;False;False;30558443.0;6972300599.38;228.16;4027734276.99;131.8;11000034876.37;359.97;2021/2022
SALTA;SUBTOTAL_PROVINCIAL;True;False;33063450.0;7657035452.8;231.59;4423292101.73;133.78;12080327554.53;365.37;2021/2022
