mes,precio_inferior,precio_promedio_ponderado,precio_superior,primer_quartil,segundo_quartil,tercer_quartil,cuarto_quartil,total_paquetes
jun-14,2.8,14.36,17.0,3261420.0,403.642,11280984.0,140943294.0,155889340.0
jul-14,2.8,14.37,17.0,3582970.0,525.266,12043800.0,157495965.0,173648001.0
ago-14,2.8,15.03,19.0,3228510.0,553.134,60709691.0,98793668.0,163285003.0
sep-14,3.0,16.23,19.0,4911110.0,147.381,11404013.0,147635973.0,164098477.0
oct-14,3.0,16.26,19.0,4901370.0,454.19,12527416.0,168286132.0,186169108.0
nov-14,3.0,16.36,19.0,3316290.0,401.981,10975774.0,153214918.0,167908963.0
dic-14,3.0,17.42,22.0,3613215.0,599.893,79616658.0,111779076.0,195608842.0
ene-15,3.0,18.68,22.0,2353570.0,665.278,9809737.0,152099742.0,164928327.0
feb-15,3.0,18.56,22.0,4097520.0,244.269,10006500.0,148629458.0,162977747.0
mar-15,3.0,18.83,24.0,2144817.0,516.63,48347394.0,133523730.0,184532571.0
abr-15,3.0,20.3,24.0,4319570.0,516.72,9800338.0,150521202.0,165157830.0
may-15,3.0,20.21,24.0,5454864.0,505.074,9299960.0,147176109.0,162436007.0
jun-15,3.0,21.54,27.5,7245402.0,6330512.0,32395471.0,104428335.0,150399720.0
jul-15,3.0,21.92,27.0,4721060.0,3732675.0,53170999.0,111306950.0,172931684.0
ago-15,3.0,21.97,27.0,3969280.0,3495500.0,50035514.0,104613329.0,162113623.0
sep-15,6.04,23.21,29.0,8097531.0,540.797,58230305.0,90870700.0,157739333.0
oct-15,3.0,24.11,29.0,1981000.0,3332788.0,9447900.0,152528177.0,167289865.0
nov-15,3.0,23.87,29.0,4390000.0,3606795.0,8834135.0,154057067.0,170887997.0
dic-15,3.0,24.04,29.0,3614500.0,4008450.0,11330392.0,190746698.0,209700040.0
ene-16,7.09,23.94,29.0,6912585.0,42.637,48032537.0,107454220.0,162441979.0
feb-16,7.07,25.47,32.0,7734245.0,13.101,47081953.0,100331759.0,155161058.0
mar-16,3.0,25.78,32.0,3396000.0,4937403.0,9474500.0,152042845.0,169850748.0
abr-16,7.0,25.88,32.0,7494725.0,99.5,52219656.0,117242698.0,177056579.0
may-16,10.2,39.09,50.0,5737985.0,7444718.0,44347873.0,41051289.0,98581865.0
jun-16,10.2,38.61,48.0,7502910.0,12012319.0,2360715.0,118822034.0,140697978.0
jul-16,38.33,38.61,48.0,7820650.0,12016130.0,3724561.0,103495786.0,127057127.0
ago-16,13.19,38.46,50.0,8526065.0,18114834.0,72878120.0,55715836.0,155234855.0
sep-16,13.19,39.45,50.0,10157125.0,18098630.0,3753285.0,108041740.0,140050780.0
oct-16,13.19,39.54,50.0,9079875.0,18844270.0,4853245.0,110164691.0,142942081.0
nov-16,15.5,40.97,52.0,11112625.0,20196616.0,11589877.0,109429067.0,152328184.0
