fecha,empresas_grandes,porcentaje_participacion_grandes,empresas_pymes,porcentaje_participacion_pymes,total_mercado,total_porcentaje_participacion,total_mercado_x_campana
jun-17,131998917.0,91.21,12715900.0,8.79,144714817.0,100.0,
jul-17,120506508.0,90.29,12965010.0,9.71,133471518.0,100.0,
ago-17,141168652.0,91.69,12790810.0,8.31,153959462.0,100.0,
sep-17,144004477.0,92.32,11986335.0,7.68,155990812.0,100.0,
oct-17,122102607.0,89.9,13713804.0,10.1,135816411.0,100.0,
nov-17,141453098.0,90.86,14232670.0,9.14,155685768.0,100.0,1805603031.0
dic-17,150411135.0,91.48,13999640.0,8.52,164410775.0,100.0,0.0
ene-18,144286258.0,91.33,13691010.0,8.67,157977268.0,100.0,
feb-18,125327827.0,88.3,16610010.0,11.7,141937837.0,100.0,
mar-18,142910964.0,92.52,11560936.0,7.48,154471900.0,100.0,
abr-18,130707538.0,90.16,14266135.0,9.84,144973673.0,100.0,
may-18,132227192.0,89.13,16120385.0,10.87,148347577.0,100.0,
jun-18,119104943.0,87.97,16291513.0,12.03,135396456.0,100.0,
jul-18,116716530.0,86.98,17465447.0,13.02,134181977.0,100.0,
ago-18,131157321.0,89.18,15913585.0,10.82,147070906.0,100.0,
sep-18,110981805.0,91.33,10540374.0,8.67,121522179.0,100.0,
oct-18,146678619.0,90.24,15859602.0,9.76,162538221.0,100.0,
nov-18,124873795.0,88.58,16099395.0,11.42,140973190.0,100.0,1753801958.0
dic-18,133413174.0,88.77,16875943.0,11.23,150289116.0,100.0,0.0
ene-19,127960553.0,88.79,16151756.0,11.21,144112309.0,100.0,0.0
feb-19,135437385.0,88.7,17255380.0,11.3,152692765.0,100.0,0.0
mar-19,103418987.0,83.76,20058386.0,16.24,123477373.0,100.0,0.0
abr-19,119625355.0,89.34,14275411.0,10.66,133900766.0,100.0,0.0
may-19,130105953.0,87.1,19264086.0,12.9,149370039.0,100.0,0.0
jun-19,91249667.0,84.86,16281064.0,15.14,107530731.0,100.0,0.0
jul-19,116615834.0,84.48,21427085.0,15.52,138042919.0,100.0,0.0
ago-19,124887503.0,83.81,24123540.0,16.19,149011043.0,100.0,0.0
sep-19,105402554.0,81.14,24502019.0,18.86,129904572.0,100.0,0.0
oct-19,112921912.0,78.97,30077049.0,21.03,142998961.0,100.0,0.0
nov-19,114613290.0,80.98,26915833.0,19.02,141529123.0,100.0,1662859717.0
dic-19,124423510.0,85.74,20689852.0,14.26,145113362.0,100.0,0.0
ene-20,113349973.0,78.05,31879539.0,21.95,145229512.0,100.0,0.0
feb-20,108853518.0,79.95,27299331.0,20.05,136152849.0,100.0,0.0
mar-20,96042375.0,81.22,22207885.0,18.78,118250260.0,100.0,0.0
abr-20,56512355.0,91.42,5306247.0,8.58,61818602.0,100.0,0.0
may-20,119570180.0,84.5,21936922.0,15.5,141507102.0,100.0,0.0
jun-20,140703556.0,76.53,43139960.0,23.47,183843516.0,100.0,0.0
jul-20,98529261.0,68.41,45500905.0,31.59,144030166.0,100.0,0.0
ago-20,114701460.0,72.62,43249830.0,27.38,157951290.0,100.0,0.0
sep-20,83581600.0,63.37,48302770.0,36.63,131884370.0,100.0,0.0
oct-20,111698966.0,72.02,43397500.0,27.98,155096466.0,100.0,0.0
nov-20,111230223.0,73.36,40392600.0,26.64,151622823.0,100.0,1672500318.0
dic-20,116526294.0,73.54,41932020.0,26.46,158458314.0,100.0,0.0
ene-21,106251796.0,71.15,43090540.0,28.85,149342336.0,100.0,0.0
feb-21,114084537.0,73.08,42025370.0,26.92,156109907.0,100.0,0.0
mar-21,111039445.0,67.42,53648378.0,32.58,164687822.0,100.0,0.0
abr-21,101677605.0,71.46,40601015.0,28.54,142278620.0,100.0,0.0
may-21,103105072.0,70.83,42452300.0,29.17,145557372.0,100.0,0.0
jun-21,73972804.0,61.26,46783747.0,38.74,120756551.0,100.0,0.0
jul-21,93996744.0,67.78,44680385.0,32.22,138677129.0,100.0,0.0
ago-21,109320026.0,70.44,45866693.0,29.56,155186718.0,100.0,0.0
sep-21,83724493.0,60.12,55537020.0,39.88,139261513.0,100.0,0.0
oct-21,101860317.0,70.87,41874752.0,29.13,143735069.0,100.0,0.0
nov-21,119816871.0,69.34,52991030.0,30.66,172807901.0,100.0,1786859253.0
dic-21,112643371.0,66.22,57473350.0,33.78,170116720.0,100.0,0.0
ene-22,94620663.0,64.56,51948768.0,35.44,146569431.0,100.0,0.0
feb-22,105061231.0,70.99,42942083.0,29.01,148003313.0,100.0,0.0
mar-22,93746866.0,64.43,51748426.0,35.57,145495292.0,100.0,0.0
abr-22,94614151.0,65.39,50070408.0,34.61,144684558.0,100.0,0.0
may-22,107722988.0,65.31,57210393.0,34.69,164933381.0,100.0,0.0
jun-22,81509704.0,62.33,49266645.0,37.67,130776349.0,100.0,0.0
jul-22,97246908.0,60.44,63650785.0,39.56,160897693.0,100.0,0.0
ago-22,108098282.0,63.14,63117931.0,36.86,171216213.0,100.0,0.0
sep-22,86813400.0,58.16,62449384.0,41.84,149262784.0,100.0,0.0
oct-22,92928490.0,57.38,69035462.0,42.62,161963952.0,100.0,0.0
nov-22,101405792.0,59.47,69123202.0,40.53,170528994.0,100.0,1864448680.0
dic-22,103280887.0,63.26,59981085.0,36.74,163261972.0,100.0,0.0
ene-23,97488654.0,66.34,49453907.0,33.66,146942561.0,100.0,0.0
feb-23,100874233.0,65.81,52402907.0,34.19,153277140.0,100.0,0.0
mar-23,95001767.0,56.92,71913947.0,43.08,166915714.0,100.0,0.0
abr-23,97976737.0,57.36,72818643.0,42.64,170795380.0,100.0,0.0
may-23,82859273.0,52.76,74184050.0,47.24,157043323.0,100.0,0.0
jun-23,88449506.0,58.28,63326100.0,41.72,151775606.0,100.0,0.0
jul-23,69553064.0,50.46,68288773.0,49.54,137841837.0,100.0,0.0
ago-23,101013823.0,57.63,74257500.0,42.37,175271323.0,100.0,0.0
sep-23,77802955.0,61.05,49638625.0,38.95,127441580.0,100.0,0.0
oct-23,95066401.0,61.37,59833210.0,38.63,154899611.0,100.0,0.0
nov-23,108946171.0,66.21,55594500.0,33.79,164540671.0,100.0,1870006717.0
dic-23,73012096.0,59.34,50037885.0,40.66,123049981.0,100.0,0.0
ene-24,103208821.0,63.28,59894125.0,36.72,163102946.0,100.0,0.0
feb-24,79693439.0,59.58,54054125.0,40.42,133747564.0,100.0,0.0
mar-24,80389848.0,60.3,52937625.0,39.7,133327473.0,100.0,0.0
abr-24,78824564.0,55.26,63826750.0,44.74,142651314.0,100.0,0.0
may-24,78404878.0,59.05,54369195.0,40.95,132774073.0,100.0,0.0
jun-24,67988844.0,61.06,43358625.0,38.94,111347469.0,100.0,0.0
jul-24,66609794.0,47.89,72491250.0,52.11,139101044.0,100.0,0.0
ago-24,81774592.0,59.65,55317755.0,40.35,137092347.0,100.0,0.0
sep-24,79354316.0,59.28,54514010.0,40.72,133868326.0,100.0,0.0
oct-24,91764989.0,61.7,56958765.0,38.3,148723754.0,100.0,0.0
nov-24,84280694.0,58.3,60280485.0,41.7,144561179.0,100.0,1643347470.0
dic-24,102571470.0,70.55,42818160.0,29.45,145389630.0,100.0,0.0
ene-25,89901660.0,62.26,54491525.0,37.74,144393185.0,100.0,0.0
feb-25,90068275.0,65.18,48118625.0,34.82,138186900.0,100.0,0.0
mar-25,89914137.0,64.5,49480400.0,35.5,139394537.0,100.0,0.0
abr-25,83347380.0,65.46,43987111.0,34.54,127334491.0,100.0,0.0
may-25,81915274.0,61.62,51027395.0,38.38,132942669.0,100.0,1606522416.0
jun-25,76090352.0,58.89,53114720.0,41.11,129205072.0,100.0,0.0
jul-25,89284988.0,65.13,47800953.0,34.87,137085941.0,100.0,0.0
ago-25,74786050.0,60.14,49576255.0,39.86,124362305.0,100.0,0.0
sep-25,82470255.0,66.53,41480280.0,33.47,123950535.0,100.0,
oct-25,95611926.0,66.4,48387640.0,33.6,143999566.0,100.0,0.0
nov-25,75313336.0,62.62,44964250.0,37.38,120277586.0,100.0,0.0
dic-25,100756439.0,64.59,55244765.0,35.41,156001204.0,100.0,1062335580.0
ene-26,79975395.0,61.35,50384225.0,38.65,130359620.0,100.0,0.0
feb-26,81639564.0,61.83,50398345.0,38.17,132037909.0,100.0,0.0
mar-26,87013470.0,59.79,58522880.0,40.21,145536350.0,100.0,
abr-26,73281229.0,59.1,50705413.0,40.9,123986642.0,100.0,
may-26,71033781.0,58.79,49788080.0,41.21,120821861.0,100.0,
jun-26,75427019.0,54.08,64048820.0,45.92,139475839.0,100.0,
jul-26,73859740.0,64.72,40256415.0,35.28,114116155.0,100.0,
